chlor_raw,lat,lon,chlor
525.0,-39.999733813632,-73.74943903800242,-0.0757207139381183
525.0,-39.999733813632,-73.74494746158182,-0.0757207139381183
525.0,-39.999733813632,-73.74045588516123,-0.0757207139381183
525.0,-39.999733813632,-73.73596430874062,-0.0757207139381183
525.0,-39.999733813632,-73.73147273232003,-0.0757207139381183
525.0,-39.999733813632,-73.72698115589944,-0.0757207139381183
525.0,-39.999733813632,-73.72248957947883,-0.0757207139381183
525.0,-39.999733813632,-73.71799800305824,-0.0757207139381183
525.0,-39.999733813632,-73.71350642663764,-0.0757207139381183
525.0,-39.999733813632,-73.70901485021705,-0.0757207139381183
719.0,-39.999733813632,-73.70452327379644,0.06084887303880742
719.0,-39.999733813632,-73.70003169737585,0.06084887303880742
719.0,-39.999733813632,-73.69554012095524,0.06084887303880742
719.0,-39.999733813632,-73.69104854453465,0.06084887303880742
719.0,-39.999733813632,-73.68655696811405,0.06084887303880742
719.0,-39.999733813632,-73.68206539169346,0.06084887303880742
719.0,-39.999733813632,-73.67757381527285,0.06084887303880742
719.0,-39.999733813632,-73.67308223885226,0.06084887303880742
719.0,-39.999733813632,-73.66859066243167,0.06084887303880742
525.0,-39.9952422372114,-73.74943903800242,-0.0757207139381183
525.0,-39.9952422372114,-73.74494746158182,-0.0757207139381183
525.0,-39.9952422372114,-73.74045588516123,-0.0757207139381183
525.0,-39.9952422372114,-73.73596430874062,-0.0757207139381183
525.0,-39.9952422372114,-73.73147273232003,-0.0757207139381183
525.0,-39.9952422372114,-73.72698115589944,-0.0757207139381183
525.0,-39.9952422372114,-73.72248957947883,-0.0757207139381183
525.0,-39.9952422372114,-73.71799800305824,-0.0757207139381183
525.0,-39.9952422372114,-73.71350642663764,-0.0757207139381183
525.0,-39.9952422372114,-73.70901485021705,-0.0757207139381183
719.0,-39.9952422372114,-73.70452327379644,0.06084887303880742
719.0,-39.9952422372114,-73.70003169737585,0.06084887303880742
719.0,-39.9952422372114,-73.69554012095524,0.06084887303880742
719.0,-39.9952422372114,-73.69104854453465,0.06084887303880742
719.0,-39.9952422372114,-73.68655696811405,0.06084887303880742
719.0,-39.9952422372114,-73.68206539169346,0.06084887303880742
719.0,-39.9952422372114,-73.67757381527285,0.06084887303880742
719.0,-39.9952422372114,-73.67308223885226,0.06084887303880742
719.0,-39.9952422372114,-73.66859066243167,0.06084887303880742
525.0,-39.9907506607908,-73.74943903800242,-0.0757207139381183
525.0,-39.9907506607908,-73.74494746158182,-0.0757207139381183
525.0,-39.9907506607908,-73.74045588516123,-0.0757207139381183
525.0,-39.9907506607908,-73.73596430874062,-0.0757207139381183
525.0,-39.9907506607908,-73.73147273232003,-0.0757207139381183
525.0,-39.9907506607908,-73.72698115589944,-0.0757207139381183
525.0,-39.9907506607908,-73.72248957947883,-0.0757207139381183
525.0,-39.9907506607908,-73.71799800305824,-0.0757207139381183
525.0,-39.9907506607908,-73.71350642663764,-0.0757207139381183
525.0,-39.9907506607908,-73.70901485021705,-0.0757207139381183
719.0,-39.9907506607908,-73.70452327379644,0.06084887303880742
719.0,-39.9907506607908,-73.70003169737585,0.06084887303880742
719.0,-39.9907506607908,-73.69554012095524,0.06084887303880742
719.0,-39.9907506607908,-73.69104854453465,0.06084887303880742
719.0,-39.9907506607908,-73.68655696811405,0.06084887303880742
719.0,-39.9907506607908,-73.68206539169346,0.06084887303880742
719.0,-39.9907506607908,-73.67757381527285,0.06084887303880742
719.0,-39.9907506607908,-73.67308223885226,0.06084887303880742
719.0,-39.9907506607908,-73.66859066243167,0.06084887303880742
525.0,-39.986259084370204,-73.74943903800242,-0.0757207139381183
525.0,-39.986259084370204,-73.74494746158182,-0.0757207139381183
525.0,-39.986259084370204,-73.74045588516123,-0.0757207139381183
525.0,-39.986259084370204,-73.73596430874062,-0.0757207139381183
525.0,-39.986259084370204,-73.73147273232003,-0.0757207139381183
525.0,-39.986259084370204,-73.72698115589944,-0.0757207139381183
525.0,-39.986259084370204,-73.72248957947883,-0.0757207139381183
525.0,-39.986259084370204,-73.71799800305824,-0.0757207139381183
525.0,-39.986259084370204,-73.71350642663764,-0.0757207139381183
525.0,-39.986259084370204,-73.70901485021705,-0.0757207139381183
719.0,-39.986259084370204,-73.70452327379644,0.06084887303880742
719.0,-39.986259084370204,-73.70003169737585,0.06084887303880742
719.0,-39.986259084370204,-73.69554012095524,0.06084887303880742
719.0,-39.986259084370204,-73.69104854453465,0.06084887303880742
719.0,-39.986259084370204,-73.68655696811405,0.06084887303880742
719.0,-39.986259084370204,-73.68206539169346,0.06084887303880742
719.0,-39.986259084370204,-73.67757381527285,0.06084887303880742
719.0,-39.986259084370204,-73.67308223885226,0.06084887303880742
719.0,-39.986259084370204,-73.66859066243167,0.06084887303880742
525.0,-39.981767507949606,-73.74943903800242,-0.0757207139381183
525.0,-39.981767507949606,-73.74494746158182,-0.0757207139381183
525.0,-39.981767507949606,-73.74045588516123,-0.0757207139381183
525.0,-39.981767507949606,-73.73596430874062,-0.0757207139381183
525.0,-39.981767507949606,-73.73147273232003,-0.0757207139381183
525.0,-39.981767507949606,-73.72698115589944,-0.0757207139381183
525.0,-39.981767507949606,-73.72248957947883,-0.0757207139381183
525.0,-39.981767507949606,-73.71799800305824,-0.0757207139381183
525.0,-39.981767507949606,-73.71350642663764,-0.0757207139381183
525.0,-39.981767507949606,-73.70901485021705,-0.0757207139381183
719.0,-39.981767507949606,-73.70452327379644,0.06084887303880742
719.0,-39.981767507949606,-73.70003169737585,0.06084887303880742
719.0,-39.981767507949606,-73.69554012095524,0.06084887303880742
719.0,-39.981767507949606,-73.69104854453465,0.06084887303880742
719.0,-39.981767507949606,-73.68655696811405,0.06084887303880742
719.0,-39.981767507949606,-73.68206539169346,0.06084887303880742
719.0,-39.981767507949606,-73.67757381527285,0.06084887303880742
719.0,-39.981767507949606,-73.67308223885226,0.06084887303880742
719.0,-39.981767507949606,-73.66859066243167,0.06084887303880742
525.0,-39.97727593152901,-73.74943903800242,-0.0757207139381183
525.0,-39.97727593152901,-73.74494746158182,-0.0757207139381183
525.0,-39.97727593152901,-73.74045588516123,-0.0757207139381183
525.0,-39.97727593152901,-73.73596430874062,-0.0757207139381183
525.0,-39.97727593152901,-73.73147273232003,-0.0757207139381183
525.0,-39.97727593152901,-73.72698115589944,-0.0757207139381183
525.0,-39.97727593152901,-73.72248957947883,-0.0757207139381183
525.0,-39.97727593152901,-73.71799800305824,-0.0757207139381183
525.0,-39.97727593152901,-73.71350642663764,-0.0757207139381183
525.0,-39.97727593152901,-73.70901485021705,-0.0757207139381183
719.0,-39.97727593152901,-73.70452327379644,0.06084887303880742
719.0,-39.97727593152901,-73.70003169737585,0.06084887303880742
719.0,-39.97727593152901,-73.69554012095524,0.06084887303880742
719.0,-39.97727593152901,-73.69104854453465,0.06084887303880742
719.0,-39.97727593152901,-73.68655696811405,0.06084887303880742
719.0,-39.97727593152901,-73.68206539169346,0.06084887303880742
719.0,-39.97727593152901,-73.67757381527285,0.06084887303880742
719.0,-39.97727593152901,-73.67308223885226,0.06084887303880742
719.0,-39.97727593152901,-73.66859066243167,0.06084887303880742
525.0,-39.97278435510841,-73.74943903800242,-0.0757207139381183
525.0,-39.97278435510841,-73.74494746158182,-0.0757207139381183
525.0,-39.97278435510841,-73.74045588516123,-0.0757207139381183
525.0,-39.97278435510841,-73.73596430874062,-0.0757207139381183
525.0,-39.97278435510841,-73.73147273232003,-0.0757207139381183
525.0,-39.97278435510841,-73.72698115589944,-0.0757207139381183
525.0,-39.97278435510841,-73.72248957947883,-0.0757207139381183
525.0,-39.97278435510841,-73.71799800305824,-0.0757207139381183
525.0,-39.97278435510841,-73.71350642663764,-0.0757207139381183
525.0,-39.97278435510841,-73.70901485021705,-0.0757207139381183
719.0,-39.97278435510841,-73.70452327379644,0.06084887303880742
719.0,-39.97278435510841,-73.70003169737585,0.06084887303880742
719.0,-39.97278435510841,-73.69554012095524,0.06084887303880742
719.0,-39.97278435510841,-73.69104854453465,0.06084887303880742
719.0,-39.97278435510841,-73.68655696811405,0.06084887303880742
719.0,-39.97278435510841,-73.68206539169346,0.06084887303880742
